TPX,TPY,TPZ,TVX,TVY,TVZ
0.0,0.0,1.8731400077675926,0.0,0.0,0.12950074138196366
0.0,0.0,1.8744218796104413,0.0,0.0,0.12818718428486298
0.0,0.0,1.8756907470980226,0.0,0.0,0.12688674875814104
0.0,0.0,1.8769467430450173,0.0,0.0,0.12559959469947413
0.0,0.0,1.8781900015242607,0.0,0.0,0.12432584792433349
0.0,0.0,1.8794206576470565,0.0,0.0,0.12306561227956617
0.0,0.0,1.880638846541642,0.0,0.0,0.12181888945855904
0.0,0.0,1.8818447030934196,0.0,0.0,0.1205856551777845
0.0,0.0,1.8830383611463972,0.0,0.0,0.11936580529777752
0.0,0.0,1.8842199530761095,0.0,0.0,0.11815919297120475
0.0,0.0,1.8853896092160278,0.0,0.0,0.11696561399185651
0.0,0.0,1.886547457529867,0.0,0.0,0.1157848313839221
0.0,0.0,1.8876936232732895,0.0,0.0,0.11461657434225919
0.0,0.0,1.8888282287766511,0.0,0.0,0.11346055033617569
0.0,0.0,1.8899513936181132,0.0,0.0,0.11231648414619369
0.0,0.0,1.891063234537118,0.0,0.0,0.11118409190050182
0.0,0.0,1.8921638654775208,0.0,0.0,0.11006309404025738
0.0,0.0,1.893253397896863,0.0,0.0,0.10895324193423078
0.0,0.0,1.894331940953223,0.0,0.0,0.10785430563602141
0.0,0.0,1.8953996019630739,0.0,0.0,0.1067661009851005
0.0,0.0,1.8964564866088627,0.0,0.0,0.10568846457888093
0.0,0.0,1.8975026991533857,0.0,0.0,0.10462125445227732
0.0,0.0,1.8985383429262597,0.0,0.0,0.10356437728739304
0.0,0.0,1.899563520561014,0.0,0.0,0.10251776347542871
0.0,0.0,1.9005783341074074,0.0,0.0,0.10148135463934777
0.0,0.0,1.901582885279999,0.0,0.0,0.10045511725914022
0.0,0.0,1.9025772755822308,0.0,0.0,0.09943903022320097
0.0,0.0,1.9035616063019765,0.0,0.0,0.09843307197456436
0.0,0.0,1.904535978506963,0.0,0.0,0.09743722049868278
0.0,0.0,1.9055004930399888,0.0,0.0,0.09645145330257487
0.0,0.0,1.9064552503814154,0.0,0.0,0.09547573414264937
0.0,0.0,1.9074003506396617,0.0,0.0,0.09451002582462012
0.0,0.0,1.908335893276206,0.0,0.0,0.09355426365440861
0.0,0.0,1.9092619769540837,0.0,0.0,0.09260836778778891
0.0,0.0,1.910178699646715,0.0,0.0,0.09167226926311789
0.0,0.0,1.911086158086865,0.0,0.0,0.09074584401500319
0.0,0.0,1.9119844481262849,0.0,0.0,0.08982900394200086
0.0,0.0,1.912873664310844,0.0,0.0,0.0889216184559011
0.0,0.0,1.9137538998398633,0.0,0.0,0.0880235529019407
0.0,0.0,1.9146252466566307,0.0,0.0,0.08713468167673277
0.0,0.0,1.9154877952764546,0.0,0.0,0.08625486198241022
0.0,0.0,1.9163416350070461,0.0,0.0,0.08538397305913958
0.0,0.0,1.9171868539106596,0.0,0.0,0.08452189036133984
0.0,0.0,1.9180235386323754,0.0,0.0,0.08366847217157164
0.0,0.0,1.9188517747533997,0.0,0.0,0.08282361210243369
0.0,0.0,1.9196716468904125,0.0,0.0,0.08198721370125939
0.0,0.0,1.920483238400159,0.0,0.0,0.08115915097465987
0.0,0.0,1.9212866318706046,0.0,0.0,0.08033934704453499
0.0,0.0,1.9220819090970909,0.0,0.0,0.07952772264861593
0.0,0.0,1.922869150925186,0.0,0.0,0.07872418280949783
0.0,0.0,1.9236484376192067,0.0,0.0,0.07792866940206392
0.0,0.0,1.9244198488445274,0.0,0.0,0.07714112253209726
0.0,0.0,1.9251834635166416,0.0,0.0,0.07636146721140238
0.0,0.0,1.9259393600434773,0.0,0.0,0.07558965268357667
0.0,0.0,1.9266876161773783,0.0,0.0,0.0748256133900819
0.0,0.0,1.9274283091277074,0.0,0.0,0.07406929503291396
0.0,0.0,1.9281615155443372,0.0,0.0,0.07332064166299426
0.0,0.0,1.9288873113678595,0.0,0.0,0.07257958235222284
0.0,0.0,1.9296057719403996,0.0,0.0,0.07184605725398857
0.0,0.0,1.9303169718544,0.0,0.0,0.07111999140002179
0.0,0.0,1.9310209851948117,0.0,0.0,0.07040133404118876
0.0,0.0,1.9317178851252752,0.0,0.0,0.06968999304636919
0.0,0.0,1.9324077439918699,0.0,0.0,0.06898588665946323
0.0,0.0,1.9330906335629043,0.0,0.0,0.06828895710345856
0.0,0.0,1.933766624612662,0.0,0.0,0.06759910497577495
0.0,0.0,1.9344357871554507,0.0,0.0,0.06691625427888956
0.0,0.0,1.9350981904216238,0.0,0.0,0.06624032661728668
0.0,0.0,1.9357539028328277,0.0,0.0,0.0655712411203728
0.0,0.0,1.9364029919764354,0.0,0.0,0.06490891436077811
0.0,0.0,1.9370455247118552,0.0,0.0,0.06425327354197916
0.0,0.0,1.9376815670147334,0.0,0.0,0.06360423028780174
0.0,0.0,1.938311184347267,0.0,0.0,0.06296173325333307
